,index,key,bases,Bob,Eve
0,0,0,Z,1,0
1,1,1,X,1,0
2,2,0,X,0,1
3,3,1,X,1,1
4,4,0,Z,0,0
5,5,0,X,0,1
6,6,0,Z,1,1
7,7,0,Z,1,0
8,8,0,X,0,0
9,9,0,Z,0,0
10,10,0,Z,0,0
11,11,1,X,0,1
12,12,1,X,1,1
13,13,1,Z,1,1
14,14,0,X,0,1
15,15,0,Z,0,1
16,16,1,X,1,1
17,17,1,X,1,0
18,18,0,Z,0,0
19,19,1,Z,0,0
20,20,0,X,1,1
21,21,1,Z,0,0
22,22,1,X,0,0
23,23,1,Z,1,1
24,24,1,Z,1,1
25,25,0,X,0,1
26,26,1,X,0,0
27,27,0,Z,0,1
28,28,0,Z,1,1
29,29,1,X,1,0
30,30,1,X,1,0
31,31,0,Z,0,0
32,32,0,Z,0,0
33,33,1,X,0,1
34,34,0,X,0,1
35,35,0,X,0,0
36,36,0,X,0,1
37,37,0,X,0,1
38,38,0,Z,1,0
39,39,0,Z,0,0
40,40,1,X,0,1
41,41,0,X,0,1
42,42,1,X,0,0
43,43,1,Z,0,0
44,44,1,X,1,1
45,45,0,Z,0,0
46,46,1,X,1,0
47,47,0,Z,0,1
48,48,1,X,1,0
49,49,1,Z,1,1
50,50,0,X,0,0
51,51,0,X,1,1
52,52,0,X,0,1
53,53,0,X,1,1
54,54,0,Z,0,0
55,55,1,Z,0,0
56,56,1,Z,1,1
57,57,0,Z,0,0
58,58,0,X,0,1
59,59,1,X,0,0
60,60,1,X,0,0
61,61,0,Z,1,0
62,62,0,Z,1,0
63,63,0,Z,0,0
64,64,1,Z,0,1
65,65,0,Z,0,0
66,66,1,X,1,0
67,67,1,Z,0,1
68,68,0,X,1,0
69,69,1,Z,0,1
70,70,0,Z,0,0
71,71,0,Z,1,0
72,72,0,X,0,1
73,73,0,X,0,0
74,74,1,X,0,1
75,75,1,Z,1,1
76,76,1,Z,0,0
77,77,1,Z,1,1
78,78,0,Z,0,0
79,79,0,X,1,1
80,80,1,X,1,0
81,81,1,Z,0,1
82,82,1,X,1,0
83,83,0,Z,1,1
84,84,0,X,0,0
85,85,0,X,0,1
86,86,0,X,0,1
87,87,1,X,1,0
88,88,0,Z,1,1
89,89,1,X,0,1
90,90,0,Z,0,0
91,91,1,X,0,1
92,92,1,X,1,0
93,93,1,Z,1,0
94,94,0,X,0,1
95,95,1,X,0,1
96,96,0,Z,0,0
97,97,1,Z,1,1
98,98,0,X,0,1
99,99,1,Z,1,1
100,100,0,X,0,1
101,101,1,X,1,0
102,102,0,X,1,0
103,103,1,Z,1,0
104,104,0,X,0,1
105,105,1,X,1,1
106,106,1,X,1,0
107,107,0,Z,0,0
108,108,1,X,1,0
109,109,1,X,1,1
110,110,0,Z,0,0
111,111,1,Z,1,1
112,112,1,X,1,1
113,113,1,X,1,0
114,114,0,X,0,0
115,115,1,Z,0,1
116,116,0,X,0,1
117,117,1,X,1,0
118,118,1,Z,0,0
119,119,0,Z,0,1
120,120,0,Z,0,0
121,121,0,X,0,1
122,122,1,X,1,0
123,123,0,Z,0,0
124,124,1,Z,0,1
125,125,0,X,1,0
126,126,0,X,0,0
127,127,1,X,1,0
