,Unnamed: 0,key,bases,Bob,Eve
0,0,0,Z,0,0
1,1,1,Z,1,1
2,2,0,Z,0,0
3,3,1,Z,1,1
4,4,1,Z,1,1
5,5,0,X,0,0
6,6,1,X,1,0
7,7,0,Z,1,1
8,8,0,X,1,1
9,9,0,Z,0,0
10,10,0,X,0,0
11,11,0,Z,0,0
12,12,0,Z,0,0
13,13,1,X,0,0
14,14,1,Z,0,1
15,15,0,Z,0,0
16,16,1,Z,1,1
17,17,1,Z,0,1
18,18,1,X,1,1
19,19,0,Z,0,0
20,20,0,Z,0,1
21,21,0,X,0,0
22,22,1,Z,0,1
23,23,0,X,0,0
24,24,0,X,1,0
25,25,0,Z,0,0
26,26,1,Z,0,1
27,27,1,X,0,0
28,28,0,Z,0,0
29,29,1,Z,1,1
30,30,1,Z,1,1
31,31,1,X,1,1
32,32,0,Z,0,0
33,33,0,X,1,0
34,34,0,Z,1,1
35,35,1,X,1,1
36,36,1,Z,1,1
37,37,1,X,0,0
38,38,1,Z,0,1
39,39,0,X,1,0
40,40,1,X,1,0
41,41,1,Z,1,0
42,42,0,Z,0,0
43,43,0,Z,0,0
44,44,0,X,0,0
45,45,1,X,1,1
46,46,1,X,1,0
47,47,1,X,1,0
48,48,0,Z,0,0
49,49,1,X,1,0
50,50,1,Z,0,1
51,51,0,Z,0,0
52,52,1,X,1,1
53,53,1,Z,0,1
54,54,1,X,0,1
55,55,1,Z,1,1
56,56,1,X,0,0
57,57,1,Z,1,0
58,58,1,Z,1,1
59,59,0,X,0,0
60,60,1,Z,0,1
61,61,1,X,0,1
62,62,1,Z,1,1
63,63,0,Z,1,0
64,64,0,X,0,0
65,65,0,X,0,0
66,66,1,Z,1,0
67,67,0,Z,0,0
68,68,1,Z,0,1
69,69,0,Z,0,0
70,70,0,X,1,0
71,71,1,X,1,0
72,72,0,X,0,0
73,73,1,Z,0,1
74,74,0,X,0,0
75,75,1,Z,0,0
76,76,1,Z,1,1
77,77,1,X,1,1
78,78,1,Z,0,0
79,79,1,X,0,1
80,80,1,Z,1,1
81,81,1,Z,0,0
82,82,0,Z,0,0
83,83,1,X,1,1
84,84,0,Z,0,0
85,85,1,X,1,1
86,86,1,X,1,0
87,87,1,Z,1,1
88,88,1,X,1,0
89,89,1,X,1,0
90,90,1,X,1,0
91,91,0,X,0,1
92,92,0,X,0,0
93,93,0,Z,1,0
94,94,0,X,0,0
95,95,0,Z,0,0
96,96,0,X,1,1
97,97,0,X,0,1
98,98,0,Z,0,0
99,99,1,Z,1,1
100,100,1,X,1,0
101,101,1,Z,1,1
102,102,0,X,1,1
103,103,1,Z,1,0
104,104,0,X,1,0
105,105,1,Z,1,1
106,106,0,X,0,1
107,107,1,X,0,0
108,108,0,X,0,0
109,109,0,X,0,0
110,110,1,X,0,0
111,111,0,Z,0,0
112,112,1,X,1,0
113,113,0,X,0,1
114,114,1,X,1,0
115,115,1,X,0,1
116,116,1,X,1,1
117,117,0,Z,0,1
118,118,0,X,0,1
119,119,0,Z,0,0
120,120,0,Z,0,1
121,121,1,Z,0,0
122,122,0,Z,1,0
123,123,1,Z,0,0
124,124,0,X,0,1
125,125,1,X,1,1
126,126,0,X,0,0
127,127,0,X,1,0
128,128,0,Z,0,0
129,129,0,Z,1,0
130,130,1,Z,0,0
131,131,1,X,0,0
132,132,0,X,0,0
133,133,0,Z,0,0
134,134,0,Z,0,1
135,135,1,Z,0,1
136,136,0,X,1,0
137,137,1,X,1,0
138,138,1,Z,0,0
139,139,0,X,1,0
140,140,1,Z,0,0
141,141,1,X,0,1
142,142,0,X,0,0
143,143,0,X,0,0
144,144,1,X,1,0
