Qubit,T1 (µs),T2 (µs),Frequency (GHz),Readout error,Single-qubit U2 error rate,CNOT error rate,Date
Q0,52.11041858377518,59.09810702077353,5.114866972562082,2.5900000000000034e-2,5.39526604537768e-4,"cx0_1: 2.799e-2, cx0_14: 3.041e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q1,52.35428674065335,56.373242865902235,5.235707791591353,4.239999999999999e-2,1.3086932495535218e-3,"cx1_0: 2.799e-2, cx1_2: 1.036e-2, cx1_13: 4.681e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q2,62.807458623459134,105.3517774232388,5.0384645109132205,4.300000000000004e-2,5.780632579299265e-4,"cx2_1: 1.036e-2, cx2_3: 4.461e-2, cx2_12: 4.464e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q3,41.939108701149635,13.70856919783865,4.894581717506924,1.663e-1,7.712644819739622e-4,"cx3_2: 4.461e-2, cx3_4: 2.606e-2, cx3_11: 4.379e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q4,47.21647840784816,46.7008692317021,5.0215835720102024,9.150000000000003e-2,9.232351168201119e-4,"cx4_3: 2.606e-2, cx4_5: 3.548e-2, cx4_10: 5.176e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q5,19.71383047798551,37.567708966385254,5.073088844045664,7.16e-2,2.8406336115471826e-3,"cx5_4: 3.548e-2, cx5_6: 4.945e-2, cx5_9: 4.141e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q6,64.03850241845976,82.49405809724824,4.929434634352876,2.6699999999999946e-2,1.1128024033821087e-3,"cx6_5: 4.945e-2, cx6_8: 2.746e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q7,37.440437208099326,13.53191769560835,4.982616458253693,4.380000000000006e-2,2.041393844628521e-3,"cx7_8: 2.721e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q8,82.1731073631925,126.31904087992712,4.751546393611311,6.020000000000003e-2,6.38607756830139e-4,"cx8_6: 2.746e-2, cx8_7: 2.721e-2, cx8_9: 2.080e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q9,44.01388571947008,56.80079739021218,4.973452993617872,6.740000000000002e-2,1.5554122430027056e-3,"cx9_5: 4.141e-2, cx9_8: 2.080e-2, cx9_10: 5.407e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q10,46.14545951042656,34.64860167299491,4.944784553360932,4.5499999999999985e-2,4.6251319124442315e-3,"cx10_4: 5.176e-2, cx10_9: 5.407e-2, cx10_11: 5.486e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q11,59.638158584217855,87.08803358078355,4.9974503822735405,1.6820000000000002e-1,4.153059129191436e-4,"cx11_3: 4.379e-2, cx11_10: 5.486e-2, cx11_12: 1.851e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q12,71.2031005291197,59.246319212179635,4.763418098919415,1.0620000000000007e-1,7.12120626307333e-4,"cx12_2: 4.464e-2, cx12_11: 1.851e-2, cx12_13: 2.267e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q13,35.66703544934982,32.49564102761682,4.974268758368997,1.8359999999999999e-1,1.652098463263728e-3,"cx13_1: 4.681e-2, cx13_12: 2.267e-2, cx13_14: 3.639e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
Q14,39.22949181812662,51.14530178436782,5.006778799383691,5.4300000000000015e-2,6.292319193144879e-4,"cx14_0: 3.041e-2, cx14_13: 3.639e-2",Wed Nov 18 2020 08:37:20 GMT+0100 (Central European Standard Time)
